excessFee,rrp,balanceRRP,oldBalanceRRP,deviceCost,excess_to_rrp_ratio,balance_change,has_balance_change,device_condition_score,device_issues_count,device_not_assessed_count,turnOnOff,touchScreen,smashed,frontCamera,backCamera,frontOrBackCamera,audio,mic,buttons,connection,charging,other,desc_length,desc_word_count,desc_sentence_count,desc_has_newlines,desc_uppercase_ratio,desc_exclamation_count,desc_question_count,has_redacted_pii,policy_duration_days,purchase_to_policy_days,is_policy_active,policy_start_month,policy_start_dayofweek,coverage_encoded,claimType_encoded,country_encoded,channel_encoded,relationship_encoded,deviceType_encoded,productCode_freq,retailerName_freq,model_freq,target
1989.0,11990.0,11990.0,11990.0,0,0.1658882402001668,0.0,0,0,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,550,94,8,0,0.005454545454545455,0,0,1,365,0,1,4,4,1,2,2,2,0,2,0.03753910323253389,0.7133783247320366,0.00034722222222222224,1
619.0,15490.0,15490.0,15490.0,0,0.039961265332472566,0.0,0,6,1,2,1,1,-1,1,1,-1,1,1,0,-1,-1,-1,205,37,1,0,0.0,0,0,1,365,-3,1,2,0,0,0,2,2,0,2,0.05039972193256865,0.08098451766574037,0.03229166666666667,1
2509.0,19490.0,19490.0,19490.0,0,0.12873268342739866,0.0,0,0,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,572,96,6,0,0.02097902097902098,0,0,1,365,0,1,4,4,1,2,2,2,0,2,0.03753910323253389,0.7133783247320366,0.0020833333333333333,1
619.0,15490.0,15490.0,15490.0,0,0.039961265332472566,0.0,0,6,1,2,1,1,-1,1,1,-1,1,1,0,-1,-1,-1,722,111,9,0,0.00554016620498615,0,0,1,365,-3,1,2,0,0,0,2,2,0,2,0.05039972193256865,0.08098451766574037,0.009722222222222222,1
619.0,14490.0,14490.0,14490.0,0,0.04271911663216011,0.0,0,0,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,192,36,2,0,0.010416666666666666,0,0,0,730,-1,1,2,3,0,0,2,3,0,2,0.09975669099756691,0.7133783247320366,0.03229166666666667,1
1149.0,11990.0,11990.0,11990.0,0,0.09582985821517932,0.0,0,0,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,641,102,8,0,0.056162246489859596,0,2,1,365,0,1,12,5,1,0,2,3,0,2,0.03753910323253389,0.15085351329892815,0.0006944444444444445,1
619.0,11690.0,11690.0,11690.0,0,0.052951240376390075,0.0,0,1,6,2,0,0,-1,0,1,-1,0,0,0,-1,-1,-1,154,28,2,0,0.006493506493506494,0,0,1,365,0,1,4,6,0,0,2,2,0,2,0.029197080291970802,0.15085351329892815,0.0006944444444444445,1
619.0,15490.0,15490.0,15490.0,0,0.039961265332472566,0.0,0,6,1,2,1,1,-1,1,1,-1,1,1,0,-1,-1,-1,456,73,8,0,0.015350877192982455,0,0,1,730,-31,1,1,0,0,0,2,2,0,2,0.09975669099756691,0.7133783247320366,0.03229166666666667,1
619.0,14490.0,14490.0,14490.0,0,0.04271911663216011,0.0,0,1,6,2,0,0,-1,0,0,-1,1,0,0,-1,-1,-1,315,54,7,0,0.009523809523809525,0,0,1,365,-3,1,2,0,0,0,2,2,0,2,0.05039972193256865,0.08098451766574037,0.011458333333333333,1
619.0,15490.0,15490.0,15490.0,0,0.039961265332472566,0.0,0,6,1,2,1,1,-1,1,1,-1,1,1,0,-1,-1,-1,365,61,4,0,0.005479452054794521,0,0,1,365,-3,1,2,0,0,0,2,2,0,2,0.05039972193256865,0.08098451766574037,0.014930555555555556,1
619.0,14490.0,14490.0,14490.0,0,0.04271911663216011,0.0,0,6,1,2,1,1,-1,1,1,-1,1,1,0,-1,-1,-1,566,96,7,0,0.00530035335689046,0,0,1,730,-1,1,2,6,0,0,2,2,0,2,0.09975669099756691,0.7133783247320366,0.03229166666666667,1
619.0,13490.0,13490.0,13490.0,0,0.04588584136397331,0.0,0,6,1,2,1,1,-1,1,1,-1,1,1,0,-1,-1,-1,598,101,7,0,0.005016722408026756,0,0,1,731,0,1,3,2,0,0,2,2,0,2,0.09975669099756691,0.7133783247320366,0.010763888888888889,1
619.0,14490.0,14490.0,14490.0,0,0.04271911663216011,0.0,0,5,2,2,1,0,-1,1,1,-1,1,1,0,-1,-1,-1,333,58,3,0,0.003003003003003003,0,0,1,365,0,1,5,2,0,0,2,2,0,2,0.029197080291970802,0.15085351329892815,0.011458333333333333,1
619.0,17790.0,17790.0,17790.0,0,0.03479482855536818,0.0,0,6,1,2,1,1,-1,1,1,-1,1,1,0,-1,-1,-1,259,39,2,0,0.003861003861003861,0,0,1,365,219,1,11,3,0,0,2,2,0,2,0.05039972193256865,0.08098451766574037,0.001388888888888889,0
619.0,13490.0,13490.0,13490.0,0,0.04588584136397331,0.0,0,0,7,2,0,0,-1,0,0,-1,0,0,0,-1,-1,-1,383,67,7,0,0.044386422976501305,2,0,1,365,0,1,3,3,0,0,2,2,0,2,0.029197080291970802,0.15085351329892815,0.02013888888888889,1
619.0,17790.0,17790.0,17790.0,0,0.03479482855536818,0.0,0,0,7,2,0,0,-1,0,0,-1,0,0,0,-1,-1,-1,187,27,2,0,0.0053475935828877,0,0,1,731,0,1,3,6,0,0,2,2,0,2,0.09975669099756691,0.7133783247320366,0.00034722222222222224,1
619.0,15490.0,15490.0,15490.0,0,0.039961265332472566,0.0,0,6,1,2,1,1,-1,1,1,-1,1,1,0,-1,-1,-1,488,80,6,0,0.00819672131147541,0,0,1,730,-31,1,1,0,0,0,2,2,0,2,0.09975669099756691,0.7133783247320366,0.03229166666666667,1
619.0,13490.0,13490.0,13490.0,0,0.04588584136397331,0.0,0,0,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,303,50,5,0,0.0033003300330033004,0,0,1,731,0,1,3,5,0,0,2,3,0,2,0.09975669099756691,0.15085351329892815,0.02013888888888889,1
619.0,14490.0,14490.0,14490.0,0,0.04271911663216011,0.0,0,0,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,129,21,3,0,0.007751937984496124,0,0,1,365,5,1,4,6,0,0,2,3,0,2,0.05039972193256865,0.08098451766574037,0.016666666666666666,1
619.0,13490.0,13490.0,13490.0,0,0.04588584136397331,0.0,0,6,1,2,1,1,-1,1,1,-1,1,1,0,-1,-1,-1,192,33,3,0,0.0,0,0,1,731,0,1,3,2,0,0,2,2,0,2,0.09975669099756691,0.7133783247320366,0.011458333333333333,1
369.0,7990.0,7990.0,7990.0,0,0.046182728410513144,0.0,0,0,7,2,0,0,-1,0,0,-1,0,0,0,-1,-1,-1,174,27,4,0,0.005747126436781609,0,0,1,731,0,1,9,3,0,0,2,2,0,3,0.0020855057351407717,0.7133783247320366,0.00034722222222222224,1
619.0,14490.0,14490.0,14490.0,0,0.04271911663216011,0.0,0,0,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,784,117,7,0,0.0548469387755102,0,2,1,365,-34,1,2,0,0,0,2,3,0,2,0.05039972193256865,0.08098451766574037,0.03229166666666667,1
619.0,15490.0,15490.0,15490.0,0,0.039961265332472566,0.0,0,2,5,2,1,0,-1,0,0,-1,1,0,0,-1,-1,-1,505,89,7,0,0.0039603960396039604,0,0,1,365,-13,1,3,4,0,0,2,2,0,2,0.05039972193256865,0.08098451766574037,0.003472222222222222,1
619.0,13490.0,13490.0,13490.0,0,0.04588584136397331,0.0,0,5,2,2,1,0,-1,1,1,-1,1,1,0,-1,-1,-1,252,42,5,0,0.007936507936507936,0,0,1,365,-3,1,2,0,0,0,2,2,0,2,0.05039972193256865,0.08098451766574037,0.011458333333333333,1
619.0,14490.0,14490.0,14490.0,0,0.04271911663216011,0.0,0,5,2,2,1,0,-1,1,1,-1,1,1,0,-1,-1,-1,213,28,4,0,0.014084507042253521,0,0,1,365,5,1,4,6,0,0,2,2,0,2,0.05039972193256865,0.08098451766574037,0.016666666666666666,1
619.0,17790.0,17790.0,17790.0,0,0.03479482855536818,0.0,0,6,1,2,1,1,-1,1,1,-1,1,1,0,-1,-1,-1,302,48,4,0,0.013245033112582781,0,0,1,365,-3,1,2,0,0,1,2,2,0,2,0.05039972193256865,0.08098451766574037,0.0020833333333333333,1
619.0,15490.0,15490.0,15490.0,0,0.039961265332472566,0.0,0,6,1,2,1,1,-1,1,1,-1,1,1,0,-1,-1,-1,190,31,3,0,0.005263157894736842,0,0,1,365,96,1,7,6,0,0,2,2,0,2,0.05039972193256865,0.08098451766574037,0.010069444444444445,1
1039.0,14490.0,14490.0,14490.0,0,0.07170462387853692,0.0,0,0,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,511,90,8,0,0.007827788649706457,0,0,1,365,0,1,3,4,1,2,2,2,0,2,0.03753910323253389,0.15085351329892815,0.00798611111111111,1
